"SampleID","SpotID","Pb207.Pb206","Pb207.Pb206_1s","Pb207.U235","Pb207.U235_1s","Pb206.U238","Pb206.U238_1s","Age206.238_Ma","Age206.238_Ma_1s","Age207.206_Ma","Age207.206_Ma_1s","Disc_per"
"NR01","NR01-01",0.07784,0.00127,1.7915,0.0278,0.1669,0.0032,1042,10,1143,32,4.7
"NR01","NR01-02",0.07058,0.00216,0.9268,0.0269,0.0952,0.002,666,14,945,61,13.7
"NR01","NR01-03",0.06026,0.00276,0.7814,0.0342,0.094,0.0023,586,19,613,96,1.2
"NR01","NR01-04",0.07599,0.00151,1.443,0.0273,0.1377,0.0027,907,11,1095,39,9
"NR01","NR01-05",0.06568,0.00263,0.3234,0.0123,0.0357,8e-04,285,9,796,82,26.1
"NR01","NR01-06",0.06097,0.00138,0.8712,0.0189,0.1036,0.002,636,10,638,48,0
"NR01","NR01-07",0.06102,0.0014,0.8298,0.0181,0.0986,0.0019,614,10,640,49,1.3
"NR01","NR01-08",0.05417,0.00184,0.3123,0.0102,0.0418,9e-04,276,8,378,75,4.5
"NR01","NR01-09",0.0621,0.00153,0.7996,0.0188,0.0934,0.0019,597,11,678,52,3.6
"NR01","NR01-10",0.06662,0.00096,1.2562,0.0173,0.1367,0.0026,826,8,826,30,0
"NR01","NR01-11",0.0707,0.00189,1.2439,0.0315,0.1276,0.0026,821,14,949,54,6.1
"NR01","NR01-12",0.06957,0.00378,0.8571,0.0441,0.0893,0.0024,629,24,916,108,13.9
"NR01","NR01-13",0.05816,0.0017,0.6963,0.0195,0.0868,0.0018,537,12,535,63,0
"NR01","NR01-14",0.05968,0.00493,0.4246,0.0335,0.0516,0.0016,359,24,592,170,10.8
"NR01","NR01-15",0.06076,0.00258,0.7071,0.0286,0.0844,0.002,543,17,631,89,4
"NR01","NR01-16",0.06056,0.00115,0.8494,0.0154,0.1017,0.0019,624,8,624,40,0
"NR01","NR01-17",0.06691,0.0023,0.7918,0.0259,0.0858,0.0018,592,15,835,70,11.5
"NR01","NR01-18",0.06376,0.00153,0.8248,0.0189,0.0938,0.0019,611,10,734,50,5.7
"NR01","NR01-19",0.05564,0.00168,0.4077,0.0118,0.0531,0.0011,347,9,438,66,3.9
"NR01","NR01-20",0.05863,0.00268,0.7563,0.033,0.0935,0.0022,572,19,554,97,-0.7
"NR01","NR01-21",0.06643,0.00222,0.5266,0.0167,0.0575,0.0012,430,11,820,68,19.4
"NR01","NR01-22",0.07574,0.00286,1.6371,0.0587,0.1567,0.0037,985,23,1088,74,4.9
"NR01","NR01-23",0.18978,0.00193,13.9257,0.136,0.5321,0.0098,2745,9,2740,17,-0.2
"NR01","NR01-24",0.06027,0.00098,0.8599,0.0133,0.1035,0.0019,630,7,613,35,-0.8
"NR01","NR01-25",0.06332,0.00186,0.8365,0.0235,0.0958,0.002,617,13,719,61,4.6
"NR01","NR01-26",0.0622,0.00225,0.9401,0.0325,0.1096,0.0024,673,17,681,76,0.4
"NR01","NR01-27",0.11122,0.00143,5.01746,0.06158,0.32711,0.00613,1822,10,1819,23,-0.1
"NR01","NR01-28",0.08354,0.00203,1.82269,0.04183,0.15819,0.00323,1054,15,1282,47,11.3
"NR01","NR01-29",0.16207,0.00343,10.25853,0.20895,0.45895,0.01007,2458,19,2477,35,0.9
"NR01","NR01-30",0.1698,0.00307,7.39762,0.12546,0.31589,0.00648,2161,15,2556,30,22.1
"NR01","NR01-31",0.07615,0.00102,1.87706,0.02381,0.17871,0.00331,1073,8,1099,26,1.2
"NR01","NR01-32",0.06192,0.00106,0.90551,0.01479,0.10604,0.00199,655,8,671,36,0.8
"NR01","NR01-33",0.05227,0.00114,0.2634,0.0055,0.03654,7e-04,237,4,297,49,2.6
"NR01","NR01-34",0.05966,0.00121,0.77509,0.01496,0.0942,0.0018,583,9,591,43,0.5
"NR01","NR01-35",0.19397,0.00295,3.08526,0.04242,0.11532,0.00223,1429,11,2776,25,103
"NR01","NR01-36",0.05921,0.00121,0.74605,0.01453,0.09135,0.00174,566,8,575,44,0.4
"NR01","NR01-37",0.05939,0.00188,0.74153,0.0224,0.09053,0.00188,563,13,581,67,0.7
"NR01","NR01-38",0.05948,0.00156,0.76705,0.01913,0.09351,0.00186,578,11,585,56,0.3
"NR01","NR01-39",0.06214,0.00146,0.74487,0.01666,0.08691,0.0017,565,10,679,49,5.2
"NR01","NR01-40",0.12726,0.00163,5.45194,0.06613,0.31061,0.00581,1893,10,2061,22,8.5
"NR01","NR01-41",0.05805,0.00309,0.57713,0.02931,0.07208,0.00182,463,19,531,113,3.1
"NR01","NR01-42",0.07334,0.00267,1.30067,0.04491,0.12858,0.0029,846,20,1023,72,8.5
"NR01","NR01-43",0.0843,0.00209,1.24621,0.02897,0.10719,0.00218,822,13,1299,47,25.3
"NR01","NR01-44",0.06444,0.00169,0.80019,0.01988,0.09003,0.00181,597,11,756,54,7.4
"NR01","NR01-45",0.05843,0.00242,0.29531,0.01163,0.03664,0.00082,263,9,546,88,13.4
"NR01","NR01-46",0.06197,0.00192,0.88183,0.02604,0.10316,0.00215,642,14,673,65,1.4
"NR01","NR01-47",0.07851,0.00223,0.90372,0.02418,0.08346,0.00173,654,13,1160,55,26.5
"NR01","NR01-48",0.15367,0.00818,2.10256,0.10092,0.012,0.00319,1150,33,2387,88,88.5
"NR01","NR01-49",0.06094,0.0013,0.73762,0.01499,0.08776,0.00169,561,9,637,45,3.5
"NR01","NR01-50",0.10371,0.00343,2.23631,0.06913,0.15633,0.00362,1193,22,1692,60,27.5
"NR01","NR01-51",0.06039,0.00084,0.83162,0.01094,0.0183,0.00183,615,6,618,30,0.3
"NR01","NR01-52",0.07951,0.00431,2.09057,0.10802,0.19062,0.00541,1146,35,1185,103,1.9
"NR01","NR01-53",0.08968,0.00234,1.89871,0.04672,0.1535,0.00319,1081,16,1419,49,17.4
"NR01","NR01-54",0.06233,0.00164,0.81933,0.02052,0.0953,0.0019,608,11,685,55,3.6
"NR01","NR01-55",0.05937,0.00141,0.75348,0.0171,0.09201,0.00179,570,10,581,51,0.5
"NR01","NR01-56",0.0776,0.00161,1.85921,0.03662,0.17371,0.00338,1067,13,1137,41,3.3
"NR01","NR01-57",0.06147,0.00111,0.87139,0.01498,0.10277,0.00193,636,8,656,38,0.8
"NR01","NR01-58",0.06166,0.00337,0.69787,0.03626,0.08206,0.00213,538,22,662,113,5.9
"NR01","NR01-59",0.06098,0.00192,0.84485,0.02538,0.10044,0.00208,622,14,639,66,0.8
"NR01","NR01-60",0.06098,0.00151,0.69366,0.0163,0.08248,0.00162,535,10,638,52,4.7
"NR02","NR02-01",0.06395,0.00068,0.21558,0.00213,0.02444,0.00043,575,10,740,21,-12.5
"NR02","NR02-02",0.05486,0.00393,0.27412,0.01881,0.03624,0.00076,555,9,407,165,-8.6
"NR02","NR02-03",0.06353,0.00387,0.3458,0.01977,0.03948,0.00083,619,11,726,133,-3
"NR02","NR02-04",0.05741,0.00394,0.33199,0.0217,0.04194,0.00087,860,14,507,155,-5.1
"NR02","NR02-05",0.08264,0.00177,0.54226,0.01084,0.04759,0.00091,1144,19,1261,18,-2.9
"NR02","NR02-06",0.0611,0.00071,0.4225,0.00457,0.05014,0.00089,623,11,643,20,-10.6
"NR02","NR02-07",0.07567,0.00365,0.56897,0.0249,0.05453,0.0011,1402,22,1086,99,-21.9
"NR02","NR02-08",0.06491,0.00161,0.57285,0.00994,0.06401,0.00114,878,16,771,53,-6.4
"NR02","NR02-09",0.07366,0.00253,0.76609,0.02201,0.07543,0.00142,1005,16,1032,71,-7.5
"NR02","NR02-10",0.05545,0.00242,0.57792,0.02265,0.07559,0.00145,400,7,430,100,-13
"NR02","NR02-11",0.06596,0.00076,0.81849,0.00885,0.08998,0.0016,265,5,805,20,-8.9
"NR02","NR02-12",0.06109,0.00375,0.77033,0.04462,0.09145,0.00188,666,12,642,136,-4.6
"NR02","NR02-13",0.07062,0.00082,0.90912,0.00981,0.09335,0.00166,677,11,946,20,-1.9
"NR02","NR02-14",0.06654,0.00604,0.85782,0.07505,0.0935,0.00225,1736,27,823,196,-18.4
"NR02","NR02-15",0.07247,0.00092,0.93591,0.01119,0.09367,0.0017,2995,42,999,19,-3.5
"NR02","NR02-16",0.06287,0.00068,0.84264,0.00854,0.0972,0.00173,564,11,704,21,-2.8
"NR02","NR02-17",0.06472,0.00268,0.87347,0.03204,0.09788,0.00188,1107,18,765,89,-3.7
"NR02","NR02-18",0.07655,0.00211,1.03878,0.02149,0.09842,0.00179,1696,27,1110,56,-1.7
"NR02","NR02-19",0.06314,0.00068,0.87428,0.00888,0.10043,0.0018,1033,17,713,21,-13.3
"NR02","NR02-20",0.06294,0.00088,0.87535,0.01152,0.10084,0.00181,605,11,706,18,-16.3
"NR02","NR02-21",0.0704,0.00075,0.98605,0.0098,0.10155,0.0018,315,5,940,21,-12
"NR02","NR02-22",0.12077,0.00162,1.72281,0.02135,0.10347,0.00191,766,13,1968,17,-10.5
"NR02","NR02-23",0.06049,0.00063,0.87263,0.00849,0.10463,0.00187,680,11,621,22,-5.7
"NR02","NR02-24",0.06636,0.00186,0.98075,0.02091,0.10719,0.00196,342,7,818,60,-25.2
"NR02","NR02-25",0.06594,0.00229,0.98891,0.02899,0.10877,0.00202,156,3,804,74,-21.2
"NR02","NR02-26",0.06369,0.00067,0.97219,0.00955,0.11068,0.00196,1219,20,731,21,0.1
"NR02","NR02-27",0.06736,0.00141,1.0335,0.01203,0.11128,0.00194,901,15,849,45,-11.6
"NR02","NR02-28",0.06742,0.00074,1.1016,0.01134,0.1185,0.00212,952,16,851,21,-14.2
"NR02","NR02-29",0.06805,0.00252,1.14493,0.03646,0.12202,0.00232,901,15,870,79,-5.8
"NR02","NR02-30",0.07609,8e-04,1.32344,0.01291,0.12611,0.00224,1405,27,1097,20,-2.3
"NR02","NR02-31",0.07106,0.00069,1.33063,0.01218,0.13582,0.00242,3062,43,959,22,-0.6
"NR02","NR02-32",0.07531,0.00433,1.4299,0.07645,0.13771,0.00289,469,9,1077,118,-18.9
"NR02","NR02-33",0.07156,0.00263,1.38444,0.04346,0.14031,0.00267,598,10,974,77,-3.7
"NR02","NR02-34",0.07329,0.00081,1.44185,0.01491,0.14264,0.00253,846,15,1022,20,-4.1
"NR02","NR02-35",0.07543,0.00291,1.51821,0.05082,0.14599,0.0028,602,11,1080,79,-5.5
"NR02","NR02-36",0.07347,8e-04,1.47968,0.01505,0.14605,0.00261,722,12,1027,20,-4.2
"NR02","NR02-37",0.0682,0.00245,1.38121,0.04233,0.14687,0.00277,879,15,875,76,-4.7
"NR02","NR02-38",0.07113,0.00362,1.44086,0.06747,0.14691,0.00295,470,9,961,107,1.5
"NR02","NR02-39",0.08358,0.00095,1.72885,0.01837,0.14999,0.00268,883,16,1283,19,0.2
"NR02","NR02-40",0.0756,0.00217,1.56332,0.03465,0.14998,0.00275,1073,19,1084,59,-13
"NR02","NR02-41",0.09023,0.00264,1.98055,0.04484,0.1592,0.00296,1647,27,1430,57,-13
"NR02","NR02-42",0.07301,0.00076,1.6857,0.01643,0.16748,0.003,300,6,1014,21,-31.8
"NR02","NR02-43",0.08227,0.00082,1.91479,0.01781,0.16876,0.00298,1266,21,1252,20,-8.1
"NR02","NR02-44",0.09302,0.00094,2.23004,0.02093,0.17384,0.00308,250,5,1488,20,-17.2
"NR02","NR02-45",0.07516,0.00179,1.8385,0.02893,0.17742,0.00318,884,17,1073,49,-2.4
"NR02","NR02-46",0.09483,0.00337,2.3684,0.07044,0.18113,0.00351,1053,17,1525,68,-0.6
"NR02","NR02-47",0.08141,0.0011,2.10343,0.0267,0.18735,0.00339,832,16,1231,17,-7.8
"NR02","NR02-48",0.08181,0.00111,2.19176,0.02805,0.19426,0.00351,641,11,1241,17,0.6
"NR02","NR02-49",0.08072,9e-04,2.31747,0.02426,0.20819,0.00372,577,10,1215,19,-14
"NR02","NR02-50",0.09648,0.00115,2.88621,0.0324,0.21694,0.00393,229,5,1557,18,-6.9
"NR02","NR02-51",0.09351,0.00094,3.12932,0.0295,0.24272,0.00435,742,13,1498,20,-4.3
"NR02","NR02-52",0.14509,0.00147,4.86252,0.04567,0.24301,0.00431,656,11,2289,18,-5.5
"NR02","NR02-53",0.09298,0.00471,3.12183,0.14385,0.24352,0.00512,821,14,1487,98,-4.4
"NR02","NR02-54",0.13603,0.00334,5.45968,0.08816,0.29109,0.00538,1401,23,2177,44,-2.7
"NR02","NR02-55",0.10779,0.00121,4.47443,0.04716,0.30098,0.0054,998,17,1762,18,-0.5
"NR02","NR02-56",0.16721,0.00167,7.1279,0.0659,0.3091,0.00549,2639,39,2530,18,-1.6
"NR02","NR02-57",0.11146,0.00109,4.88601,0.04484,0.31797,0.0057,617,11,1823,19,-3.3
"NR02","NR02-58",0.18661,0.00173,13.01786,0.11325,0.50597,0.00903,576,13,2713,18,-8.4
"NR02","NR02-59",0.24842,0.00234,20.26389,0.177,0.59146,0.01044,1780,28,3175,17,-1.1
"NR02","NR02-60",0.23538,0.00221,19.73694,0.17263,0.60804,0.01079,635,11,3089,17,-37.6
"NR03","NR03-01",0.09027,0.00148,2.41515,0.03648,0.19491,0.00342,1148,18,1431,15,-7.9
"NR03","NR03-02",0.08708,0.00115,2.40287,0.02883,0.20099,0.00342,1181,18,1362,16,-5
"NR03","NR03-03",0.06518,0.00111,0.88351,0.01397,0.09871,0.00172,607,10,780,16,-5.6
"NR03","NR03-04",0.09664,0.00178,1.93344,0.03281,0.14568,0.00261,877,15,1560,15,-19.8
"NR03","NR03-05",0.07029,0.00166,0.8536,0.01888,0.08843,0.00163,546,10,937,20,-12.9
"NR03","NR03-06",0.07914,0.00262,0.34464,0.01064,0.03171,0.00064,201,4,1176,31,-33.2
"NR03","NR03-07",0.0587,0.00149,0.74457,0.01396,0.09199,0.00157,567,9,556,57,0.4
"NR03","NR03-08",0.07186,0.00242,1.17688,0.0338,0.11878,0.0021,724,12,982,70,-8.4
"NR03","NR03-09",0.07797,0.00137,0.98913,0.01609,0.09233,0.00163,569,10,1146,16,-18.5
"NR03","NR03-10",0.07826,0.00255,0.48862,0.01489,0.04544,0.00092,286,6,1153,31,-29.2
"NR03","NR03-11",0.06917,0.0017,0.93175,0.02154,0.09801,0.00183,603,11,904,22,-9.9
"NR03","NR03-12",0.09182,0.00166,2.55486,0.04302,0.20242,0.00365,1188,20,1464,15,-7.8
"NR03","NR03-13",0.11727,0.00318,0.62214,0.01533,0.03859,0.00077,244,5,1915,20,-50.3
"NR03","NR03-14",0.07957,0.0023,1.04849,0.02847,0.09584,0.00189,590,11,1186,26,-19
"NR03","NR03-15",0.08118,0.00247,0.68491,0.0195,0.06136,0.00123,384,7,1226,27,-27.5
"NR03","NR03-16",0.0919,0.00258,1.7318,0.04542,0.13703,0.00276,828,16,1465,23,-18.8
"NR03","NR03-17",0.08145,0.00162,1.30633,0.02425,0.11662,0.00212,711,12,1232,17,-16.3
"NR03","NR03-18",0.10815,0.00448,3.23938,0.11849,0.21724,0.00424,1267,22,1768,78,-13.6
"NR03","NR03-19",0.07531,0.00198,0.39268,0.00964,0.0379,0.00072,240,4,1077,23,-28.6
"NR03","NR03-20",0.13529,0.00399,2.97772,0.06792,0.15963,0.00298,955,17,2168,53,-31.9
"NR03","NR03-21",0.09399,0.0023,2.53006,0.05824,0.19561,0.00384,1152,21,1508,20,-10.1
"NR03","NR03-22",0.07406,0.00334,0.43158,0.01831,0.04235,0.00097,267,6,1043,50,-26.6
"NR03","NR03-23",0.08058,0.00105,2.05899,0.02457,0.18566,0.00321,1098,17,1211,17,-3.3
"NR03","NR03-24",0.15376,0.00529,0.7701,0.02369,0.03639,0.00084,230,5,2388,25,-60.3
"NR03","NR03-25",0.06505,0.00136,0.80297,0.01576,0.08967,0.00163,554,10,776,18,-7.5
"NR03","NR03-26",0.0955,0.00211,2.26425,0.04672,0.17223,0.00328,1024,18,1538,17,-14.7
"NR03","NR03-27",0.06125,0.00183,0.8405,0.02009,0.09953,0.00177,612,10,648,66,-1.1
"NR03","NR03-28",0.10935,0.00264,4.51906,0.07461,0.29974,0.00527,1690,26,1789,45,-2.5
"NR03","NR03-29",0.09984,0.00226,2.74744,0.05826,0.19985,0.00388,1175,21,1621,18,-12.4
