"SampleID","SpotID","Pb207.Pb206","Pb207.Pb206_1s","Pb207.U235","Pb207.U235_1s","U238.Pb206","U238.Pb206_1s","Age206.238_Ma","Age206.238_Ma_1s","Age207.206_Ma","Age207.206_Ma_1s","Disc_per"
135966.1,63.1,0.05394,0.00175,NA,NA,17.856,0.358,351,7,369,73,4.7
135966.1,20.1,0.05808,0.00103,NA,NA,17.768,0.239,353,5,533,39,33.7
135966.1,48.1,0.05494,0.00215,NA,NA,10.536,0.219,585,13,410,88,-42.7
135966.1,18.1,0.0553,0.00149,NA,NA,11.091,0.152,557,8,424,60,-31.2
135966.1,77.1,0.05533,0.00284,NA,NA,10.738,0.243,574,14,426,115,-34.9
135966.1,2.1,0.05706,0.00293,NA,NA,10.843,0.24,569,13,494,113,-15.1
135966.1,23.1,0.05823,0.00307,NA,NA,11.023,0.184,560,10,539,115,-3.9
135966.1,21.1,0.05903,0.00076,NA,NA,10.147,0.134,606,8,568,28,-6.6
135966.1,12.1,0.06021,0.00104,NA,NA,12.204,0.166,508,7,611,37,16.9
135966.1,51.1,0.06067,0.0026,NA,NA,10.049,0.21,612,13,628,92,2.6
135966.1,52.1,0.06182,0.00315,NA,NA,12.319,0.266,503,11,668,109,24.7
135966.1,46.1,0.06211,0.00115,NA,NA,10.709,0.214,575,12,678,40,15.1
135966.1,1.1,0.06682,0.00205,NA,NA,10.828,0.157,569,9,832,64,31.6
135966.1,66.1,0.07031,0.00076,NA,NA,7.356,0.142,822,17,937,22,12.3
135966.1,61.1,0.07105,0.00111,NA,NA,6.222,0.122,961,20,959,32,-0.2
135966.1,57.1,0.07455,0.00168,NA,NA,5.406,0.178,1094,39,1056,45,-3.6
135966.1,33.1,0.075,9e-04,NA,NA,5.367,0.076,1101,17,1068,24,-3.1
135966.1,49.1,0.07574,0.0013,NA,NA,5.184,0.104,1137,25,1088,34,-4.5
135966.1,78.1,0.0761,0.00078,NA,NA,5.521,0.108,1073,23,1098,21,2.2
135966.1,69.1,0.07631,0.00106,NA,NA,5.375,0.105,1100,23,1103,28,0.3
135966.1,50.1,0.07824,0.00088,NA,NA,5.006,0.097,1174,25,1153,22,-1.8
135966.1,10.1,0.07846,0.00122,NA,NA,4.988,0.074,1178,19,1158,31,-1.7
135966.1,62.1,0.07861,0.00118,NA,NA,4.851,0.1,1208,27,1162,30,-4
135966.1,4.1,0.07915,0.00071,NA,NA,4.939,0.067,1189,18,1176,18,-1.1
135966.1,60.1,0.07922,0.00132,NA,NA,5.053,0.101,1164,26,1178,33,1.2
135966.1,59.1,0.07987,0.00126,NA,NA,5.002,0.103,1175,26,1194,31,1.6
135966.1,34.1,0.08021,0.00091,NA,NA,4.811,0.069,1217,19,1202,22,-1.3
135966.1,70.1,0.08212,0.00084,NA,NA,4.902,0.096,1197,26,1248,20,4.1
135966.1,79.1,0.08455,0.00118,NA,NA,4.585,0.096,1272,29,1305,27,2.6
135966.1,73.1,0.08468,0.00118,NA,NA,4.392,0.092,1322,31,1308,27,-1.1
135966.1,42.1,0.08759,0.00044,NA,NA,4.286,0.056,1352,20,1373,10,1.6
135966.1,6.1,0.0929,0.00084,NA,NA,3.711,0.053,1538,25,1486,17,-3.5
135966.1,64.1,0.09362,0.00238,NA,NA,3.742,0.083,1527,38,1500,48,-1.8
135966.1,26.1,0.0956,0.00099,NA,NA,3.735,0.054,1529,25,1540,20,0.7
135966.1,8.1,0.09777,0.00125,NA,NA,3.572,0.056,1591,28,1582,24,-0.6
135966.1,67.1,0.09783,0.00095,NA,NA,3.53,0.069,1608,35,1583,18,-1.6
135966.1,16.1,0.09784,0.00039,NA,NA,3.497,0.045,1621,24,1583,8,-2.4
135966.1,28.1,0.09845,0.00103,NA,NA,3.59,0.052,1584,26,1595,20,0.7
135966.1,5.1,0.09878,0.00083,NA,NA,3.496,0.048,1622,25,1601,16,-1.3
135966.1,47.1,0.0992,0.00098,NA,NA,3.447,0.07,1642,38,1609,18,-2
135966.1,11.1,0.10037,0.00104,NA,NA,3.392,0.051,1666,29,1631,19,-2.1
135966.1,68.1,0.1026,0.00136,NA,NA,3.515,0.073,1614,38,1672,25,3.4
135966.1,80.1,0.10287,0.00101,NA,NA,3.395,0.069,1664,38,1677,18,0.7
135966.1,76.1,0.1031,0.00086,NA,NA,3.386,0.067,1668,38,1681,15,0.8
135966.1,65.1,0.10407,0.00077,NA,NA,3.222,0.063,1743,39,1698,14,-2.6
135966.1,9.1,0.10496,0.00136,NA,NA,3.236,0.053,1736,32,1714,24,-1.3
135966.1,14.1,0.10549,0.00048,NA,NA,3.226,0.042,1741,26,1723,8,-1
135966.1,25.1,0.10551,0.00056,NA,NA,3.184,0.042,1761,27,1723,10,-2.2
135966.1,30.1,0.10652,0.00062,NA,NA,3.263,0.043,1723,26,1741,11,1
135966.1,54.1,0.10705,0.00178,NA,NA,3.208,0.065,1749,41,1750,30,0
135966.1,58.1,0.10732,0.0014,NA,NA,3.237,0.064,1735,39,1754,24,1.1
135966.1,31.1,0.10801,0.00057,NA,NA,3.093,0.043,1806,29,1766,10,-2.3
135966.1,27.1,0.10836,0.00069,NA,NA,3.156,0.043,1774,28,1772,12,-0.1
135966.1,41.1,0.10838,0.00083,NA,NA,3.18,0.045,1762,28,1772,14,0.6
135966.1,35.1,0.10844,7e-04,NA,NA,3.148,0.043,1778,28,1773,12,-0.3
135966.1,45.1,0.10857,0.00055,NA,NA,3.148,0.06,1778,39,1776,9,-0.1
135966.1,74.1,0.10886,0.00096,NA,NA,3.184,0.064,1761,41,1780,16,1.1
135966.1,72.1,0.11373,0.00053,NA,NA,3.06,0.059,1823,40,1860,8,2
135966.1,19.1,0.11417,0.00065,NA,NA,2.897,0.039,1912,30,1867,10,-2.4
135966.1,39.1,0.11432,0.00073,NA,NA,2.92,0.039,1899,30,1869,12,-1.6
135966.1,44.1,0.11468,0.00045,NA,NA,2.927,0.039,1894,29,1875,7,-1
135966.1,71.1,0.11482,0.00156,NA,NA,2.954,0.061,1880,45,1877,24,-0.1
135966.1,13.1,0.11513,0.00079,NA,NA,3.03,0.043,1839,30,1882,12,2.3
135966.1,38.1,0.11662,0.00117,NA,NA,2.992,0.041,1859,30,1905,18,2.4
135966.1,53.1,0.12561,0.00081,NA,NA,2.643,0.054,2068,50,2037,11,-1.5
135966.1,3.1,0.15209,0.00122,NA,NA,2.288,0.049,2337,60,2370,14,1.4
135966.1,15.1,0.1853,0.00051,NA,NA,1.963,0.026,2654,43,2701,5,1.7
135966.1,40.1,0.19643,0.00075,NA,NA,1.892,0.026,2735,47,2797,6,2.2
135966.1,29.1,0.21961,0.00079,NA,NA,1.684,0.023,3005,52,2978,6,-0.9
